Genotype	Tetrad	Mean.MeanLogP.GCCO	MinCov	NbEvent.NCO	MeanCov	Mean.MeanLogP.NCO	NbEventNCO.TRUE	mean.LogP.NCO	min.LogP.NCO	NCOconfByIGV
Fa	Fa_Tet6	11.9343326377071	19.4608961326855	36	22.0646796955461	3.70053793178463	8	6.6398121512195	0.553398742139344	0.2
Fi	Fi_Tet8	12.9391141571656	23.7530836063784	68	25.2493670970917	3.33318836300804	14	6.34949747057892	0.657025954015385	0.2
Fi	Fi_Tet9	12.5368193516247	22.5857127809325	84	24.737571460035	3.7608053331509	15	9.93996128218932	0.317539135820417	0.2
FiFa	FiFa_Tet14	13.6991813283448	20.5894750143112	43	23.0662516584692	4.63296526030935	12	8.76787660326458	1.82615639236871	0.3
FiFa	FiFa_Tet15	9.39824010947161	19.6523489470369	52	21.1243924476869	4.51491741517539	20	7.56733052549408	0.389112843297165	0.4
QAB	QAB_Tet12	15.4001520891655	26.172551495843	48	29.9977268161075	4.17274907680712	4	16.7845696050205	8.21665812763199	0.1
QAB	QAB_Tet13	12.9752631696464	27.1493340987371	22	28.3119001148106	3.67891877227419	3	12.5915039497535	4.45485436522416	0.1
Qfa	QFa_Tet16	10.2607747408584	18.1369838863903	109	21.3095287597944	3.8859078299207	13	7.83101115902068	0.506321365157563	0.1
QFi	QFi_Tet17	6.99373749888812	18.0215583798551	147	22.0316521960696	3.82073322713241	22	7.22898887584049	0.358015621901385	0.1
QFi	QFi_Tet18	14.84333175753	40.602825003636	117	43.0826550862313	5.16976011368466	24	11.2789796043015	0.381733741569261	0.2
QFiFa	QFiFa_Tet19	12.8309523870231	21.1587881618566	79	22.8326879308134	4.12147987765951	20	8.90229844378569	0.479267213350368	0.3
QFiFa	QFiFa_Tet20	11.6003695780524	21.8589135207876	39	23.5273021977286	4.21685476577386	5	11.0889889204206	0.524461216541671	0.1
wt	wt_Tet1	18.9561380725833	39.6525210968446	17	51.7738767485027	7.51511158621993	9	12.6515460262154	2.03691665304717	0.5
wt	wt_Tet2	18.1800413502781	44.1459511384882	11	46.8891095891722	4.81642075916191	3	11.6977725079899	2.09728820691398	0.3
wt	wt_Tet3	17.531248585802	35.7906691903002	16	39.0213376533653	6.23703062611849	5	15.4443341989988	6.16053958329192	0.3
wt	wt_Tet4	16.7024478277423	34.909635107179	12	37.1901846185055	4.34132212283101	3	13.9647871886465	1.89436156593962	0.2
Fa	Fa_Tet7	18.6251903188981	52.0979276802302	11	59.7932334387574	8.22139359166326	5	14.1468951018384	2.76689716005397	0.5
Fi	Fi_Tet10	19.4002841772699	53.8291269678768	27	59.3320403918244	9.17495583532284	16	13.5917987395239	3.32182450181583	0.6
wt	wt_Tet5	15.5298382512588	32.4762799526231	13	49.6049210033351	5.28036115855769	3	14.4570657359002	9.12417761360757	0.2
