Tetrade	Tetrade_papier	Genotype
tetrade1	wt_Tet1	wt
tetrade1	wt_Tet1	wt
tetrade1	wt_Tet1	wt
tetrade1	wt_Tet1	wt
tetrade2	wt_Tet2	wt
tetrade2	wt_Tet2	wt
tetrade2	wt_Tet2	wt
tetrade2	wt_Tet2	wt
tetrade3	wt_Tet3	wt
tetrade3	wt_Tet3	wt
tetrade3	wt_Tet3	wt
tetrade3	wt_Tet3	wt
tetrade4	wt_Tet4	wt
tetrade4	wt_Tet4	wt
tetrade4	wt_Tet4	wt
tetrade4	wt_Tet4	wt
tetradewtfifa	wt_Tet5	wt
tetradewtfifa	wt_Tet5	wt
tetradewtfifa	wt_Tet5	wt
tetradewtfifa	wt_Tet5	wt
tetradeFidg	Fi_Tet10	Fi
tetradeFidg	Fi_Tet10	Fi
tetradeFidg	Fi_Tet10	Fi
tetradeFidg	Fi_Tet10	Fi
tetradefancm	Fa_Tet7	Fa
tetradefancm	Fa_Tet7	Fa
tetradefancm	Fa_Tet7	Fa
tetradefancm	Fa_Tet7	Fa
Fi_Tet1	Fi_Tet8	Fi
Fi_Tet1	Fi_Tet8	Fi
Fi_Tet1	Fi_Tet8	Fi
Fi_Tet1	Fi_Tet8	Fi
Fi_Tet2	Fi_Tet9	Fi
Fi_Tet2	Fi_Tet9	Fi
Fi_Tet2	Fi_Tet9	Fi
Fi_Tet2	Fi_Tet9	Fi
Fa_Tet4	Fa_Tet6	Fa
Fa_Tet4	Fa_Tet6	Fa
Fa_Tet4	Fa_Tet6	Fa
Fa_Tet4	Fa_Tet6	Fa
FiFa_Tet2	FiFa_Tet14	FiFa
FiFa_Tet2	FiFa_Tet14	FiFa
FiFa_Tet2	FiFa_Tet14	FiFa
FiFa_Tet2	FiFa_Tet14	FiFa
FiFa_Tet4	FiFa_Tet15	FiFa
FiFa_Tet4	FiFa_Tet15	FiFa
FiFa_Tet4	FiFa_Tet15	FiFa
FiFa_Tet4	FiFa_Tet15	FiFa
QAB_Tet4	QAB_Tet11	QAB
QAB_Tet4	QAB_Tet11	QAB
QAB_Tet4	QAB_Tet11	QAB
QAB_Tet4	QAB_Tet11	QAB
QAB_Tet5	QAB_Tet12	QAB
QAB_Tet5	QAB_Tet12	QAB
QAB_Tet5	QAB_Tet12	QAB
QAB_Tet5	QAB_Tet12	QAB
QAB_Tet6	QAB_Tet13	QAB
QAB_Tet6	QAB_Tet13	QAB
QAB_Tet6	QAB_Tet13	QAB
QAB_Tet6	QAB_Tet13	QAB
Qfa_Tet3	QFa_Tet16	QFa
Qfa_Tet3	QFa_Tet16	QFa
Qfa_Tet3	QFa_Tet16	QFa
Qfa_Tet3	QFa_Tet16	QFa
QFi	QFi_Tet17	QFi
QFi	QFi_Tet17	QFi
QFi	QFi_Tet17	QFi
QFi	QFi_Tet17	QFi
QFi_Tet2	QFi_Tet18	QFi
QFi_Tet2	QFi_Tet18	QFi
QFi_Tet2	QFi_Tet18	QFi
QFi_Tet2	QFi_Tet18	QFi
QFiFa_Tet1	QFiFa_Tet19	QFiFa
QFiFa_Tet1	QFiFa_Tet19	QFiFa
QFiFa_Tet1	QFiFa_Tet19	QFiFa
QFiFa_Tet1	QFiFa_Tet19	QFiFa
QFiFa_Tet3	QFiFa_Tet20	QFiFa
QFiFa_Tet3	QFiFa_Tet20	QFiFa
QFiFa_Tet3	QFiFa_Tet20	QFiFa
QFiFa_Tet3	QFiFa_Tet20	QFiFa
