Chr	FungPos	CO.Type	Chromatid1	Chromatid2	GC.tracLength	GC.nbSNP	is.gc	Tetrad	CO.Event	Tetrad.CO.Event	SNP.F1	SNP.F2	SNP.MAP.F1	SNP.MAP.F2	SNP.MAP.GC	SNP.1	SNP.2	D1	D2	medianD	minTL	maxTL	Conv.ColLer	Conv.LerCol	Genotype
Chr1	26472025.5	1	2	4	742	4	TRUE	Fa_Tet6	1	Fa_Tet6_CO_1	26471326	26472579	7	13	7_15_15_15_15_13	26471983	26472214	657	365	742	232	1253	0	4	Fa
Chr1	4273478.75	1	2	4	314.5	4	TRUE	Fa_Tet6	2	Fa_Tet6_CO_2	4273106	4273662	13	7	13_5_5_5_5_7	4273537	4273610	431	52	314.5	74	556	4	0	Fa
Chr2	10658361.5	0	2	4	0	0	FALSE	Fa_Tet6	3	Fa_Tet6_CO_3	10655803	10660920	10	4	10_4	10655803	10660920	0	0	0	0	0	0	0	Fa
Chr2	493299.5	0	1	3	0	0	FALSE	Fa_Tet6	4	Fa_Tet6_CO_4	493083	493516	13	10	13_10	493083	493516	0	0	0	0	0	0	0	Fa
Chr3	4790419.5	1	3	4	406	1	TRUE	Fa_Tet6	5	Fa_Tet6_CO_5	4789938	4790750	6	10	6_2_10	4790495	4790495	557	255	406	1	812	1	0	Fa
Chr3	22427102.75	1	1	3	1288.5	1	TRUE	Fa_Tet6	6	Fa_Tet6_CO_6	22425734	22428311	10	13	10_9_13	22427183	22427183	1449	1128	1288.5	1	2577	1	0	Fa
Chr4	179877.75	1	1	3	733.5	2	TRUE	Fa_Tet6	7	Fa_Tet6_CO_7	179114	180425	4	7	4_8_8_7	179908	180064	794	361	733.5	157	1311	0	2	Fa
Chr4	14700209.25	1	1	2	602.5	2	TRUE	Fa_Tet6	8	Fa_Tet6_CO_8	14699780	14700823	7	6	7_5_5_6	14700036	14700198	256	625	602.5	163	1043	2	0	Fa
Chr5	3230056	0	1	3	0	0	FALSE	Fa_Tet6	9	Fa_Tet6_CO_9	3229661	3230451	13	10	13_10	3229661	3230451	0	0	0	0	0	0	0	Fa
Chr5	16878681	0	2	4	0	0	FALSE	Fa_Tet6	10	Fa_Tet6_CO_10	16878178	16879184	10	4	10_4	16878178	16879184	0	0	0	0	0	0	0	Fa
Chr5	25092478.25	1	2	4	910.5	9	TRUE	Fa_Tet6	11	Fa_Tet6_CO_11	25091896	25093124	4	10	4_12_12_12_12_12_12_12_12_12_10	25092150	25092743	254	381	910.5	594	1228	0	9	Fa
