Genotype	Tetrad	Tetrad.CO.Event	Chr	Chromatid1	Chromatid2	GC_tracLength	GC.nbSNP	flankingSNP.F1	flankingSNP.F2	SNP.MAP.F1	SNP.MAP.F2	SNP.MAP.GC	FlankingSNP1.Ler	FlankingSNP2.Ler	taille_Col	Taille_Ler	difference_Col_Ler	SNP_density	is.complexGCCO
wt	wt_Tet1	wt_Tet1_CO_1	Chr1	3	4	0	0	28456198	28477388	10	6	10_6	27415012	27436198	21190	21186	4	0	FALSE
wt	wt_Tet1	wt_Tet1_CO_2	Chr1	1	3	371	6	16777356	16778027	13	10	13_9_9_9_9_9_9_10	15827944	15828615	671	671	0	0.894187779433681	FALSE
wt	wt_Tet1	wt_Tet1_CO_3	Chr1	2	3	0	0	680183	680416	11	13	11_13	681143	681376	233	233	0	0	FALSE
wt	wt_Tet1	wt_Tet1_CO_4	Chr2	1	2	1186	1	18518683	18521055	6	7	6_5_7	17860466	17862835	2372	2369	3	0.0421585160202361	FALSE
wt	wt_Tet1	wt_Tet1_CO_5	Chr2	1	4	0	0	7680452	7692342	13	6	13_6	7035156	7046940	11890	11784	106	0	FALSE
wt	wt_Tet1	wt_Tet1_CO_6	Chr3	1	3	617	8	10697653	10698596	10	13	10_14_14_14_14_14_14_14_14_13	10807556	10808504	943	948	-5	0.848356309650053	FALSE
wt	wt_Tet1	wt_Tet1_CO_7	Chr4	2	3	0	0	11443406	11444697	6	4	6_4	10785343	10786633	1291	1290	1	0	FALSE
wt	wt_Tet1	wt_Tet1_CO_8	Chr4	1	4	0	0	5734802	5737785	13	6	13_6	5040604	5043529	2983	2925	58	0	FALSE
wt	wt_Tet1	wt_Tet1_CO_9	Chr5	2	4	532.5	3	17730531	17731177	13	7	13_5_5_5_7	17136290	17136946	646	656	-10	0.464396284829721	FALSE
wt	wt_Tet1	wt_Tet1_CO_10	Chr5	1	4	0	0	8442722	8444937	6	13	6_13	8478988	8481017	2215	2029	186	0	FALSE
wt	wt_Tet2	wt_Tet2_CO_1	Chr1	1	2	0	0	28724228	28739401	7	6	7_6	27683418	27698589	15173	15171	2	0	FALSE
wt	wt_Tet2	wt_Tet2_CO_2	Chr1	2	3	391	2	5424209	5424830	4	6	4_8_8_6	5449511	5450134	621	623	-2	0.322061191626409	FALSE
wt	wt_Tet2	wt_Tet2_CO_3	Chr1	1	2	845.5	3	9142675	9143869	6	7	6_8_8_8_7	9066429	9067623	1194	1194	0	0.251256281407035	FALSE
wt	wt_Tet2	wt_Tet2_CO_4	Chr2	1	2	1284.5	10	9786539	9788259	10	11	10_9_9_9_9_9_9_9_9_9_9_11	9124033	9125757	1720	1724	-4	0.581395348837209	FALSE
wt	wt_Tet2	wt_Tet2_CO_5	Chr3	2	4	737	2	9464414	9465638	13	7	13_5_5_7	9512181	9513403	1224	1222	2	0.163398692810458	FALSE
wt	wt_Tet2	wt_Tet2_CO_6	Chr3	3	4	487	3	17960314	17960952	7	11	7_15_15_15_11	17134913	17135554	638	641	-3	0.470219435736677	FALSE
wt	wt_Tet2	wt_Tet2_CO_7	Chr4	3	4	438	2	1005416	1006168	11	7	11_3_3_7	1038598	1039352	752	754	-2	0.265957446808511	FALSE
wt	wt_Tet2	wt_Tet2_CO_8	Chr5	3	4	1164	2	21244874	21247197	10	6	10_2_2_6	20607840	20610156	2323	2316	7	0.086095566078347	FALSE
wt	wt_Tet2	wt_Tet2_CO_9	Chr5	2	4	0	0	1609465	1610302	4	10	4_10	1619187	1620024	837	837	0	0	FALSE
wt	wt_Tet3	wt_Tet3_CO_1	Chr1	1	2	325	3	606437	606987	11	10	11_9_9_9_10	606105	606655	550	550	0	0.545454545454546	FALSE
wt	wt_Tet3	wt_Tet3_CO_2	Chr1	3	4	0	0	13279246	13279380	10	6	10_6	13219411	13219546	134	135	-1	0	FALSE
wt	wt_Tet3	wt_Tet3_CO_3	Chr1	2	3	0	0	21028519	21032835	6	4	6_4	20004240	20008555	4316	4315	1	0	FALSE
wt	wt_Tet3	wt_Tet3_CO_4	Chr2	1	4	196.5	2	243023	243408	13	6	13_14_14_6	191535	191938	385	403	-18	0.519480519480519	FALSE
wt	wt_Tet3	wt_Tet3_CO_5	Chr2	1	2	1301	3	17876270	17877934	6	7	6_5_5_5_7	17213303	17214976	1664	1673	-9	0.180288461538462	FALSE
wt	wt_Tet3	wt_Tet3_CO_6	Chr3	3	4	0	0	8788832	8792840	10	6	10_6	8848239	8850511	4008	2272	1736	0	FALSE
wt	wt_Tet3	wt_Tet3_CO_7	Chr3	3	4	588	6	17915490	17916230	6	10	6_2_2_2_2_2_2_10	17089957	17090696	740	739	1	0.810810810810811	FALSE
wt	wt_Tet3	wt_Tet3_CO_8	Chr4	1	4	1088	2	5636855	5638924	11	4	11_3_3_4	4952346	4954410	2069	2064	5	0.096665055582407	FALSE
wt	wt_Tet3	wt_Tet3_CO_9	Chr5	1	2	0	0	10640123	10640616	7	6	7_6	10570177	10570670	493	493	0	0	FALSE
wt	wt_Tet3	wt_Tet3_CO_10	Chr5	1	4	1146	1	19304960	19307252	6	13	6_5_13	18703475	18705767	2292	2292	0	0.043630017452007	FALSE
wt	wt_Tet4	wt_Tet4_CO_1	Chr1	2	4	0	0	1424739	1425645	10	4	10_4	1427089	1427995	906	906	0	0	FALSE
wt	wt_Tet4	wt_Tet4_CO_3	Chr1	2	4	438.5	2	8974983	8975704	4	10	4_12_12_10	8902119	8902839	721	720	1	0.277777777777778	FALSE
wt	wt_Tet4	wt_Tet4_CO_1	Chr1	2	4	278	1	23685530	23686086	10	4	10_2_4	22617218	22617774	556	556	0	0.179856115107914	FALSE
wt	wt_Tet4	wt_Tet4_CO_5	Chr2	1	2	0	0	324931	326070	6	7	6_7	268250	269388	1139	1138	1	0	FALSE
wt	wt_Tet4	wt_Tet4_CO_4	Chr2	1	2	1465	4	8056751	8059208	7	6	7_8_8_8_8_6	7405269	7407727	2457	2458	-1	0.16273393002441	FALSE
wt	wt_Tet4	wt_Tet4_CO_7	Chr3	1	2	0	0	5079992	5124565	10	11	10_11	5128572	5173142	44573	44570	3	0	FALSE
wt	wt_Tet4	wt_Tet4_CO_6	Chr3	3	4	712.5	2	11467059	11468134	11	7	11_3_3_7	11636234	11637309	1075	1075	0	0.186046511627907	FALSE
wt	wt_Tet4	wt_Tet4_CO_8	Chr4	1	3	0	0	5302507	5332007	10	13	10_13	4610366	4633220	29500	22854	6646	0	FALSE
wt	wt_Tet4	wt_Tet4_CO_9	Chr4	2	4	394.5	1	11769303	11770092	13	7	13_5_7	11115169	11115961	789	792	-3	0.126262626262626	FALSE
wt	wt_Tet4	wt_Tet4_CO_10	Chr5	2	4	508.5	1	149151	150168	4	10	4_2_10	139520	140537	1017	1017	0	0.0983284169124877	FALSE
